Class,x,y,w,h,Distance
1,712.4,143.0,98.33000000000004,164.92000000000002,8.41
0,599.41,156.4,30.340000000000032,32.849999999999994,69.44
0,387.63,181.54,36.18000000000001,21.580000000000013,58.49
0,676.6,163.95,12.379999999999995,29.980000000000018,45.84
0,657.39,190.13,42.680000000000064,33.25999999999999,34.38
0,614.24,181.78,113.06999999999994,102.98999999999998,13.22
0,280.38,185.1,64.51999999999998,30.49000000000001,38.26
0,365.14,184.54,40.97000000000003,20.659999999999997,51.17
1,330.06,178.74,30.70999999999998,59.89999999999998,23.02
0,548.0,171.33,24.399999999999977,23.089999999999975,48.22
0,505.25,168.37,70.19000000000005,40.81,31.73
0,49.7,185.65,177.71999999999997,61.31,19.72
0,328.67,170.65,68.57,33.50999999999999,38.44
0,564.62,174.59,51.809999999999945,50.150000000000006,25.01
0,481.59,180.09,30.95999999999998,22.329999999999984,47.55
0,542.05,175.55,23.220000000000027,18.23999999999998,60.52
0,330.6,176.09,25.00999999999999,37.50999999999999,34.09
0,0.0,192.37,402.31,181.63,3.68
0,334.85,178.94,289.65,193.10000000000002,7.86
0,937.29,197.39,303.71000000000004,176.61,6.15
0,597.59,176.18,123.30999999999995,84.95999999999998,14.44
0,741.18,168.83,51.07000000000005,39.599999999999994,33.2
0,884.52,178.31,71.88999999999999,61.870000000000005,19.96
0,601.96,177.01,57.18999999999994,52.5,23.88
0,600.14,177.09,24.50999999999999,16.22,66.37
0,574.98,178.64,23.470000000000027,15.370000000000005,68.25
0,1013.39,182.46,227.61,191.54,5.2
0,354.43,185.52,195.08999999999997,108.97,11.8
1,859.54,159.8,20.139999999999986,61.599999999999994,23.51
0,819.63,178.12,107.22000000000003,73.44,16.5
0,800.54,178.06,78.21000000000004,52.5,22.05
0,558.55,179.04,76.5,51.57000000000002,23.64
0,598.3,178.68,53.950000000000045,39.48999999999998,29.07
0,784.59,178.04,55.389999999999986,42.06,28.53
0,663.74,175.36,43.47000000000003,28.789999999999992,42.85
1,883.68,144.15,53.67000000000007,114.85999999999999,12.42
1,873.7,152.1,59.74000000000001,103.97,13.43
0,444.29,171.04,60.65999999999997,54.78,26.64
1,649.28,168.1,15.330000000000041,38.30000000000001,34.08
0,0.0,217.12,85.92,156.88,4.13
1,240.35,190.31,27.669999999999987,71.30000000000001,15.95
0,662.2,185.85,28.00999999999999,19.180000000000007,58.84
0,448.07,177.14,33.53000000000003,29.27000000000001,65.02
0,455.7,183.86,78.10999999999996,58.04999999999998,20.13
0,626.59,176.07,28.360000000000014,18.170000000000016,59.81
0,0.0,194.7,414.71,178.3,4.1
1,1021.76,133.28,79.63000000000011,183.35,7.59
1,672.23,171.73,17.899999999999977,52.60000000000002,24.14
1,692.68,169.14,19.800000000000068,54.890000000000015,24.22
1,537.84,168.08,23.059999999999945,56.25999999999999,23.3
0,661.23,174.85,33.14999999999998,22.78,44.41
