Class,X,Y,Width,Height,Distance
1,761.565,225.46,98.33000000000004,164.92000000000002,8.41
0,614.5799999999999,172.825,30.340000000000032,32.849999999999994,69.44
0,405.72,192.32999999999998,36.18000000000001,21.580000000000013,58.49
0,682.79,178.94,12.379999999999995,29.980000000000018,45.84
0,678.73,206.76,42.680000000000064,33.25999999999999,34.38
0,670.775,233.27499999999998,113.06999999999994,102.98999999999998,13.22
0,312.64,200.345,64.51999999999998,30.49000000000001,38.26
0,385.625,194.87,40.97000000000003,20.659999999999997,51.17
1,345.41499999999996,208.69,30.70999999999998,59.89999999999998,23.02
0,560.2,182.875,24.399999999999977,23.089999999999975,48.22
0,540.345,188.775,70.19000000000005,40.81,31.73
0,138.56,216.305,177.71999999999997,61.31,19.72
0,362.95500000000004,187.405,68.57,33.50999999999999,38.44
0,590.525,199.66500000000002,51.809999999999945,50.150000000000006,25.01
0,497.06999999999994,191.255,30.95999999999998,22.329999999999984,47.55
0,553.66,184.67000000000002,23.220000000000027,18.23999999999998,60.52
0,343.105,194.845,25.00999999999999,37.50999999999999,34.09
0,201.155,283.185,402.31,181.63,3.68
0,479.675,275.49,289.65,193.10000000000002,7.86
0,1089.145,285.695,303.71000000000004,176.61,6.15
0,659.245,218.66,123.30999999999995,84.95999999999998,14.44
0,766.7149999999999,188.63,51.07000000000005,39.599999999999994,33.2
0,920.4649999999999,209.245,71.88999999999999,61.870000000000005,19.96
0,630.5550000000001,203.26,57.18999999999994,52.5,23.88
0,612.395,185.2,24.50999999999999,16.22,66.37
0,586.715,186.325,23.470000000000027,15.370000000000005,68.25
0,1127.195,278.23,227.61,191.54,5.2
0,451.975,240.005,195.08999999999997,108.97,11.8
1,869.6099999999999,190.60000000000002,20.139999999999986,61.599999999999994,23.51
0,873.24,214.84,107.22000000000003,73.44,16.5
0,839.645,204.31,78.21000000000004,52.5,22.05
0,596.8,204.825,76.5,51.57000000000002,23.64
0,625.275,198.425,53.950000000000045,39.48999999999998,29.07
0,812.2850000000001,199.07,55.389999999999986,42.06,28.53
0,685.475,189.755,43.47000000000003,28.789999999999992,42.85
1,910.515,201.57999999999998,53.67000000000007,114.85999999999999,12.42
1,903.57,204.08499999999998,59.74000000000001,103.97,13.43
0,474.62,198.43,60.65999999999997,54.78,26.64
1,656.9449999999999,187.25,15.330000000000041,38.30000000000001,34.08
0,42.96,295.56,85.92,156.88,4.13
1,254.185,225.96,27.669999999999987,71.30000000000001,15.95
0,676.205,195.44,28.00999999999999,19.180000000000007,58.84
0,464.83500000000004,191.77499999999998,33.53000000000003,29.27000000000001,65.02
0,494.755,212.885,78.10999999999996,58.04999999999998,20.13
0,640.77,185.155,28.360000000000014,18.170000000000016,59.81
0,207.355,283.85,414.71,178.3,4.1
1,1061.575,224.95499999999998,79.63000000000011,183.35,7.59
1,681.1800000000001,198.03,17.899999999999977,52.60000000000002,24.14
1,702.5799999999999,196.58499999999998,19.800000000000068,54.890000000000015,24.22
1,549.37,196.21,23.059999999999945,56.25999999999999,23.3
0,677.8050000000001,186.24,33.14999999999998,22.78,44.41
0,299.58000000000004,172.48499999999999,348.92,161.55,26.41
0,709.1700000000001,188.725,49.360000000000014,33.06999999999999,33.13
0,193.1,283.78,386.2,180.44,6.05
0,510.96500000000003,193.555,33.03000000000003,23.430000000000007,46.74
0,759.9100000000001,187.08499999999998,63.32000000000005,26.22999999999999,47.16
0,537.03,206.95999999999998,27.24000000000001,24.859999999999985,47.02
0,589.3,202.525,34.30000000000007,33.43000000000001,47.11
0,212.37,187.0,424.74,374.0,5.46
0,843.4849999999999,252.94,202.14999999999998,136.89999999999998,9.72
0,661.325,191.32999999999998,44.31000000000006,43.28,35.34
0,563.2149999999999,194.175,24.409999999999968,20.22999999999999,59.59
